,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
201704,  12039.95,   4046.41,   6445.76,   9532.55,   9732.99,  17724.95,   7992.93,   4512.30,  10952.94,   6449.14
201705,  12180.70,   4107.21,   6584.16,   9331.64,  10046.12,  17623.95,   8229.38,   4573.41,  10982.37,   6508.98
201706,  12501.02,   4132.69,   6667.05,   8996.68,  10436.63,  17278.88,   8377.59,   4558.43,  11213.51,   6515.95
201707,  11087.32,   4578.91,   6463.49,   8192.81,   9612.68,  17008.25,   7791.69,   4483.60,  11046.30,   6397.66
201708,  11066.63,   4519.32,   6592.27,   8368.26,  10085.63,  18025.74,   7772.56,   4521.28,  11499.74,   6496.09
201709,  10878.47,   4506.04,   6253.26,   7889.23,  10489.33,  17558.05,   7687.53,   4605.61,  11837.26,   6482.08
201710,  10802.28,   4735.48,   6526.47,   8817.90,  10656.53,  17449.48,   7875.96,   4692.56,  11578.14,   6819.45
201711,  10805.71,   4783.91,   6718.78,   8921.73,  11467.72,  16763.90,   8121.45,   4614.06,  11921.53,   7013.36
201712,  11459.84,   4748.96,   6939.02,   9263.62,  11623.91,  17381.53,   8810.45,   4711.61,  12150.77,   7320.18
201801,  11815.81,   4694.91,   7089.85,   9726.63,  11631.65,  18355.03,   9064.95,   4695.66,  11520.08,   7449.31
201802,  12034.06,   4798.86,   7436.87,   9999.73,  12587.80,  19077.82,   9934.79,   5036.41,  11189.20,   7915.16
201803,  11416.53,   4560.71,   7161.21,   8860.79,  12584.30,  17995.10,   9469.81,   4818.73,  10631.51,   7651.34
201804,  11342.32,   4295.96,   6998.95,   9315.29,  12203.28,  17528.44,   9276.20,   4747.67,  11046.22,   7481.74
201805,  10885.15,   4281.84,   6771.61,  10331.05,  12240.23,  17010.63,   9664.22,   4727.34,  11340.39,   7523.39
201806,  10531.96,   4400.86,   6941.54,  10636.87,  13106.39,  15972.85,   9758.25,   4845.48,  11372.24,   7634.57
201807,  10107.23,   4189.02,   6947.29,  10211.96,  12325.33,  17071.95,   9773.96,   4509.01,  11950.79,   7059.70
201808,  10384.19,   4121.45,   7312.48,  10315.22,  12696.86,  17422.25,  10075.57,   4796.70,  12145.39,   7366.11
201809,  10258.01,   4093.40,   7276.88,  10039.40,  13651.24,  17923.47,  10899.37,   5016.07,  12194.67,   7548.89
201810,  10368.42,   3935.26,   7285.14,  10356.95,  13691.79,  18229.43,  11054.90,   5126.11,  12092.11,   7496.99
201811,  10415.72,   3800.50,   6544.18,   9166.95,  12514.74,  18039.56,  10155.53,   4690.54,  12137.08,   6965.82
201812,  10433.19,   4041.61,   6843.65,   8959.98,  12417.51,  18484.85,  10269.27,   4996.47,  12473.40,   7184.72
201901,   9217.77,   3563.92,   6240.59,   7828.85,  11471.04,  16812.19,   9391.19,   4578.98,  11903.34,   6454.94
201902,   9885.42,   3928.40,   6839.46,   8794.83,  12717.23,  17686.57,  10154.91,   4800.83,  12621.02,   7054.78
201903,  10085.66,   4075.42,   7182.00,   9082.35,  13513.95,  17391.92,  10292.67,   4961.86,  13014.78,   7263.41
201904,  10404.18,   3854.14,   7157.50,   9311.47,  14056.73,  17699.84,  10739.66,   5018.22,  13414.63,   7201.98
201905,  10729.32,   4029.93,   7455.73,   9465.46,  14907.51,  18722.76,  11266.98,   4860.02,  13528.40,   7699.01
201906,  10121.72,   3538.21,   6757.83,   8280.08,  13658.61,  18145.71,  10634.41,   4703.17,  13263.88,   7212.82
201907,  10709.21,   3804.25,   7159.63,   8506.66,  13783.34,  18961.46,  10942.73,   4558.55,  14145.48,   7495.32
201908,  10885.92,   3885.80,   7225.17,   8140.15,  14374.68,  19191.29,  11107.62,   4475.70,  13994.19,   7646.77
201909,  10794.85,   3752.71,   7095.01,   7470.83,  14063.81,  19490.99,  11174.03,   4455.61,  14421.98,   7320.45
201910,  11018.85,   3866.46,   7394.39,   7845.73,  14294.71,  19738.68,  11330.15,   4429.23,  15133.84,   7481.02
201911,  11167.63,   4134.02,   7403.51,   7792.95,  14781.72,  20072.22,  11482.18,   4538.68,  14905.92,   7738.55
201912,  11382.85,   4243.93,   7673.91,   8000.77,  15606.88,  20574.83,  11798.93,   4791.38,  14528.62,   8145.90
202001,  11738.95,   4444.26,   7809.06,   8607.95,  16200.55,  21119.69,  11989.30,   4970.30,  15064.87,   8355.88
202002,  11776.82,   4698.81,   7593.35,   7631.51,  16751.40,  20568.55,  12216.30,   4894.01,  15784.29,   8253.04
202003,  10820.72,   4348.20,   6960.10,   6396.57,  15667.81,  19514.59,  11418.01,   4610.62,  14156.73,   7434.94
202004,   9510.81,   3352.47,   5792.33,   4239.43,  14147.47,  16845.86,  10535.58,   4377.74,  12275.11,   6040.18
202005,  10344.60,   4230.92,   6455.65,   5652.61,  16318.41,  18665.55,  12517.90,   4871.42,  12875.54,   6688.43
202006,  10672.95,   4533.89,   6860.83,   5800.57,  17742.64,  19563.22,  13263.10,   5076.31,  13402.04,   6969.53
202007,  10309.68,   5197.24,   6856.18,   5769.32,  18182.71,  19237.51,  13463.05,   4745.92,  13253.64,   6631.65
202008,  10989.76,   6169.39,   7152.06,   5579.88,  19555.30,  20439.94,  14901.89,   4948.69,  14072.78,   6897.94
202009,  11549.23,   8789.08,   7604.20,   5542.86,  21715.96,  21547.22,  16096.36,   5081.92,  13692.23,   7398.03
